Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
100034,Alpha Innovations,Search,Women 25-34,45 days,Instagram,0.02,"$12,122.00",2.98,New York,German,684,7419,5,Tech Enthusiasts,2021-01-24
100035,Innovate Industries,Social Media,Men 18-24,45 days,Website,0.14,"$14,221.00",7.77,Los Angeles,German,101,4768,9,Tech Enthusiasts,2021-01-25
100036,NexGen Systems,Email,Men 25-34,15 days,Email,0.14,"$9,897.00",5.11,Houston,Mandarin,824,9269,2,Foodies,2021-01-26
100037,Innovate Industries,Social Media,All Ages,60 days,Google Ads,0.11,"$8,039.00",4.26,Los Angeles,French,351,7814,5,Fashionistas,2021-01-27
100038,DataTech Solutions,Search,Women 35-44,45 days,Instagram,0.07,"$9,293.00",7.87,Chicago,Spanish,640,4259,2,Health & Wellness,2021-01-28
100039,NexGen Systems,Email,All Ages,45 days,Instagram,0.09,"$16,182.00",5.7,New York,Spanish,454,8480,4,Outdoor Adventurers,2021-01-29
100040,NexGen Systems,Influencer,All Ages,30 days,Instagram,0.1,"$13,958.00",7.96,New York,Spanish,804,1068,6,Foodies,2021-01-30
100041,NexGen Systems,Influencer,Men 18-24,60 days,Facebook,0.15,"$5,794.00",7.11,New York,Mandarin,476,9722,7,Outdoor Adventurers,2021-01-31
100042,Innovate Industries,Influencer,Men 18-24,15 days,YouTube,0.15,"$16,928.00",6.55,Houston,Mandarin,272,1054,8,Fashionistas,2021-02-01
100043,TechCorp,Email,Women 25-34,60 days,Facebook,0.09,"$10,431.00",4.26,Los Angeles,French,466,3935,1,Health & Wellness,2021-02-02
100044,Alpha Innovations,Display,All Ages,60 days,Facebook,0.12,"$12,876.00",6.78,Houston,Mandarin,302,7858,4,Fashionistas,2021-02-03
100045,NexGen Systems,Search,Women 35-44,30 days,YouTube,0.09,"$17,333.00",4.09,Miami,Spanish,491,9505,9,Tech Enthusiasts,2021-02-04
100046,DataTech Solutions,Social Media,Men 18-24,30 days,Google Ads,0.09,"$16,828.00",3.15,Chicago,Mandarin,886,5857,9,Fashionistas,2021-02-05
100047,DataTech Solutions,Search,Men 18-24,60 days,Website,0.01,"$17,556.00",4.92,Los Angeles,Spanish,819,2819,5,Tech Enthusiasts,2021-02-06
100048,TechCorp,Email,Men 25-34,15 days,Instagram,0.04,"$14,221.00",3.16,Houston,French,586,3290,1,Foodies,2021-02-07
100049,TechCorp,Email,Women 25-34,60 days,Google Ads,0.05,"$12,669.00",6.41,Miami,French,296,9471,8,Fashionistas,2021-02-08
100050,DataTech Solutions,Email,Men 25-34,60 days,Email,0.08,"$16,503.00",2.68,Miami,Mandarin,935,1335,2,Foodies,2021-02-09
100051,NexGen Systems,Search,Women 35-44,60 days,YouTube,0.03,"$5,432.00",4.89,Chicago,English,694,5058,6,Tech Enthusiasts,2021-02-10
100052,TechCorp,Display,Men 18-24,45 days,Website,0.07,"$17,928.00",4.19,Chicago,German,105,1967,5,Fashionistas,2021-02-11
100053,NexGen Systems,Display,Women 35-44,45 days,Website,0.01,"$7,961.00",4.89,Miami,German,940,9229,3,Tech Enthusiasts,2021-02-12
100054,DataTech Solutions,Social Media,Men 25-34,30 days,Website,0.12,"$14,643.00",7.92,Chicago,English,575,7057,9,Outdoor Adventurers,2021-02-13
100055,Alpha Innovations,Display,Men 25-34,45 days,Website,0.02,"$5,061.00",4.72,Los Angeles,English,650,8823,1,Foodies,2021-02-14
100056,TechCorp,Social Media,Women 35-44,45 days,Website,0.08,"$14,569.00",5.2,Los Angeles,French,252,7032,10,Foodies,2021-02-15
100057,Alpha Innovations,Email,Women 25-34,60 days,Facebook,0.15,"$9,744.00",3.46,Miami,Mandarin,310,3729,6,Tech Enthusiasts,2021-02-16
100058,TechCorp,Social Media,Women 25-34,30 days,Facebook,0.11,"$19,112.00",3.4,Houston,Mandarin,500,9259,9,Health & Wellness,2021-02-17
100059,DataTech Solutions,Email,Men 18-24,45 days,Email,0.04,"$8,427.00",7.47,Los Angeles,French,198,6882,5,Health & Wellness,2021-02-18
100060,TechCorp,Display,Men 18-24,30 days,Facebook,0.14,"$8,880.00",7.89,Chicago,Spanish,259,3866,8,Foodies,2021-02-19
100061,DataTech Solutions,Display,Women 25-34,30 days,YouTube,0.02,"$16,901.00",7.22,Houston,English,187,9107,10,Tech Enthusiasts,2021-02-20
100062,Alpha Innovations,Display,Men 18-24,45 days,Google Ads,0.01,"$5,527.00",6.15,Chicago,French,266,5172,3,Foodies,2021-02-21
100063,DataTech Solutions,Email,Men 25-34,60 days,Google Ads,0.05,"$14,761.00",5.6,Los Angeles,German,525,2683,3,Health & Wellness,2021-02-22
100064,Innovate Industries,Search,Women 25-34,30 days,Website,0.06,"$8,954.00",5.05,Chicago,Mandarin,277,4199,6,Tech Enthusiasts,2021-02-23
100065,NexGen Systems,Search,Women 25-34,15 days,YouTube,0.02,"$9,785.00",5.6,Chicago,German,282,1546,6,Fashionistas,2021-02-24
100066,DataTech Solutions,Email,Women 25-34,45 days,Website,0.14,"$17,707.00",4.6,Los Angeles,English,881,4126,7,Outdoor Adventurers,2021-02-25
100067,Innovate Industries,Social Media,Men 25-34,15 days,Instagram,0.11,"$8,806.00",2.32,Miami,German,310,2550,2,Health & Wellness,2021-02-26
100068,TechCorp,Email,All Ages,45 days,YouTube,0.13,"$15,639.00",5.2,New York,French,344,4349,7,Outdoor Adventurers,2021-02-27
100069,NexGen Systems,Display,Men 18-24,30 days,Email,0.02,"$8,322.00",4.73,Los Angeles,Mandarin,653,7826,3,Health & Wellness,2021-02-28
100070,DataTech Solutions,Influencer,Men 25-34,45 days,Instagram,0.07,"$12,827.00",4.69,Chicago,Mandarin,124,4331,5,Health & Wellness,2021-03-01
100071,TechCorp,Email,Men 18-24,15 days,Google Ads,0.15,"$18,750.00",5.52,Miami,English,523,1302,4,Fashionistas,2021-03-02
100072,DataTech Solutions,Influencer,Men 18-24,60 days,Facebook,0.12,"$11,573.00",7.0,Chicago,Spanish,438,7618,6,Foodies,2021-03-03
100073,Innovate Industries,Email,All Ages,60 days,Website,0.13,"$7,074.00",5.29,Los Angeles,German,368,8125,6,Foodies,2021-03-04
100074,Alpha Innovations,Email,Women 25-34,45 days,Email,0.11,"$17,082.00",5.52,Miami,English,157,7732,9,Health & Wellness,2021-03-05
100075,NexGen Systems,Influencer,Men 18-24,15 days,Facebook,0.04,"$14,993.00",6.77,Miami,French,332,3130,10,Tech Enthusiasts,2021-03-06
100076,Alpha Innovations,Influencer,All Ages,45 days,Website,0.15,"$17,063.00",4.48,Chicago,English,428,5180,3,Fashionistas,2021-03-07
100077,Alpha Innovations,Display,Men 18-24,45 days,Facebook,0.12,"$7,308.00",4.61,Houston,Mandarin,935,5064,7,Outdoor Adventurers,2021-03-08
100078,NexGen Systems,Social Media,Men 25-34,45 days,Email,0.04,"$12,811.00",7.01,Houston,English,603,7964,10,Health & Wellness,2021-03-09
100079,Alpha Innovations,Social Media,All Ages,45 days,Google Ads,0.04,"$9,358.00",4.05,Los Angeles,French,113,1333,10,Tech Enthusiasts,2021-03-10
100080,DataTech Solutions,Social Media,Men 25-34,45 days,Website,0.12,"$10,276.00",6.89,Los Angeles,German,490,5184,7,Tech Enthusiasts,2021-03-11
100081,Innovate Industries,Email,Women 25-34,30 days,Email,0.05,"$11,851.00",6.39,Chicago,Mandarin,293,5541,9,Fashionistas,2021-03-12
100082,Alpha Innovations,Influencer,Men 18-24,30 days,Website,0.09,"$8,120.00",5.6,New York,Mandarin,218,6687,8,Foodies,2021-03-13
100083,Innovate Industries,Influencer,Men 18-24,15 days,Instagram,0.03,"$10,837.00",2.69,Miami,German,575,1648,1,Health & Wellness,2021-03-14
100084,Innovate Industries,Email,Men 25-34,30 days,Facebook,0.08,"$15,055.00",7.82,New York,English,889,2495,7,Outdoor Adventurers,2021-03-15
100085,DataTech Solutions,Social Media,Men 18-24,45 days,Email,0.06,"$17,296.00",5.62,Los Angeles,French,656,3264,5,Fashionistas,2021-03-16
100086,Innovate Industries,Search,Women 35-44,15 days,Email,0.06,"$17,581.00",6.96,Los Angeles,Mandarin,542,3436,6,Foodies,2021-03-17
100087,TechCorp,Influencer,All Ages,15 days,Email,0.05,"$9,417.00",4.3,Miami,Mandarin,660,9087,9,Foodies,2021-03-18
100088,Alpha Innovations,Email,Men 25-34,30 days,Website,0.03,"$11,661.00",6.21,Houston,English,870,6130,10,Tech Enthusiasts,2021-03-19
100089,TechCorp,Search,Women 25-34,30 days,Website,0.11,"$15,667.00",5.05,Miami,English,841,8825,6,Foodies,2021-03-20
100090,Alpha Innovations,Search,Men 25-34,15 days,Instagram,0.02,"$6,209.00",5.46,Los Angeles,German,234,1702,1,Outdoor Adventurers,2021-03-21
100091,DataTech Solutions,Email,Women 25-34,30 days,Instagram,0.11,"$14,652.00",7.72,Los Angeles,French,863,7741,10,Fashionistas,2021-03-22
100092,TechCorp,Influencer,Men 25-34,45 days,Instagram,0.09,"$5,095.00",2.41,New York,Mandarin,574,9190,6,Outdoor Adventurers,2021-03-23
100093,Alpha Innovations,Display,Men 18-24,45 days,Facebook,0.04,"$18,839.00",2.88,New York,English,418,5725,7,Tech Enthusiasts,2021-03-24
100094,TechCorp,Email,Men 18-24,60 days,Instagram,0.15,"$5,922.00",4.69,Chicago,Spanish,562,6591,7,Health & Wellness,2021-03-25
100095,TechCorp,Influencer,Men 18-24,60 days,Facebook,0.14,"$9,656.00",3.11,Chicago,French,617,2699,3,Fashionistas,2021-03-26
100096,Innovate Industries,Influencer,Women 35-44,30 days,Instagram,0.08,"$17,966.00",5.7,Los Angeles,Spanish,171,5026,7,Foodies,2021-03-27
100097,Innovate Industries,Display,Women 25-34,30 days,Email,0.03,"$8,852.00",3.37,Los Angeles,English,296,8433,7,Outdoor Adventurers,2021-03-28
100098,NexGen Systems,Influencer,Men 25-34,15 days,Website,0.14,"$16,362.00",3.49,Los Angeles,German,523,3813,3,Foodies,2021-03-29
100099,Innovate Industries,Search,Women 25-34,45 days,Facebook,0.12,"$8,994.00",7.48,Houston,Mandarin,539,6429,4,Outdoor Adventurers,2021-03-30
100100,NexGen Systems,Search,Women 25-34,15 days,Google Ads,0.09,"$13,987.00",6.94,Los Angeles,English,592,5733,3,Fashionistas,2021-03-31
100101,Innovate Industries,Email,Men 25-34,30 days,Email,0.06,"$19,274.00",2.51,Houston,English,281,6917,6,Fashionistas,2021-04-01
100102,NexGen Systems,Display,Women 35-44,60 days,Google Ads,0.09,"$6,000.00",4.82,Miami,Mandarin,547,9351,4,Foodies,2021-04-02
100103,Innovate Industries,Email,All Ages,45 days,Email,0.13,"$11,703.00",5.32,Houston,Spanish,118,3615,2,Fashionistas,2021-04-03
100104,DataTech Solutions,Search,Men 18-24,60 days,Email,0.11,"$10,654.00",7.33,Los Angeles,Mandarin,272,8430,3,Foodies,2021-04-04
100105,DataTech Solutions,Display,Women 25-34,30 days,Website,0.04,"$7,353.00",4.58,New York,French,688,7648,10,Health & Wellness,2021-04-05
100106,NexGen Systems,Search,Men 18-24,30 days,Website,0.12,"$16,308.00",6.75,New York,Spanish,584,8532,2,Foodies,2021-04-06
100107,TechCorp,Email,Women 25-34,60 days,Email,0.15,"$8,387.00",4.76,New York,German,836,3568,2,Health & Wellness,2021-04-07
100108,Alpha Innovations,Influencer,Women 25-34,60 days,Google Ads,0.1,"$17,671.00",4.2,Houston,Spanish,353,1988,7,Outdoor Adventurers,2021-04-08
100109,Alpha Innovations,Display,Women 25-34,45 days,Instagram,0.08,"$14,279.00",4.9,New York,German,398,2719,7,Tech Enthusiasts,2021-04-09
100110,TechCorp,Social Media,Men 25-34,60 days,Google Ads,0.02,"$19,065.00",5.27,Chicago,French,741,2483,3,Health & Wellness,2021-04-10
100111,Alpha Innovations,Influencer,Women 25-34,60 days,Website,0.13,"$8,337.00",4.61,New York,French,385,5307,6,Foodies,2021-04-11
100112,DataTech Solutions,Social Media,Women 35-44,30 days,Email,0.09,"$16,771.00",7.85,New York,Spanish,118,6876,6,Tech Enthusiasts,2021-04-12
100113,TechCorp,Social Media,All Ages,30 days,Email,0.02,"$12,976.00",5.77,New York,Spanish,874,8612,6,Tech Enthusiasts,2021-04-13
100114,Innovate Industries,Display,Men 25-34,60 days,Facebook,0.1,"$10,487.00",3.21,Houston,German,386,3835,3,Foodies,2021-04-14
100115,Innovate Industries,Social Media,Women 35-44,30 days,Website,0.12,"$18,702.00",4.16,New York,French,246,1791,6,Health & Wellness,2021-04-15
100116,DataTech Solutions,Social Media,All Ages,60 days,Email,0.05,"$15,968.00",2.07,Miami,German,334,7205,8,Outdoor Adventurers,2021-04-16
100117,TechCorp,Influencer,Men 25-34,15 days,Facebook,0.05,"$17,505.00",4.66,Chicago,German,424,9192,9,Outdoor Adventurers,2021-04-17
100118,DataTech Solutions,Email,Men 25-34,30 days,Google Ads,0.13,"$9,887.00",4.07,Los Angeles,English,705,7663,3,Outdoor Adventurers,2021-04-18
100119,NexGen Systems,Search,Men 25-34,45 days,YouTube,0.05,"$15,412.00",3.59,Miami,English,600,6504,6,Foodies,2021-04-19
100120,DataTech Solutions,Email,Men 25-34,60 days,Website,0.08,"$15,667.00",5.76,Los Angeles,Mandarin,470,2457,2,Foodies,2021-04-20
100121,DataTech Solutions,Email,Men 25-34,15 days,Instagram,0.13,"$12,037.00",5.63,New York,English,982,8420,5,Tech Enthusiasts,2021-04-21
100122,NexGen Systems,Social Media,Women 35-44,30 days,Website,0.09,"$15,301.00",4.76,Houston,French,756,3538,6,Health & Wellness,2021-04-22
100123,NexGen Systems,Search,All Ages,15 days,Facebook,0.02,"$12,051.00",7.11,New York,Mandarin,650,7892,9,Outdoor Adventurers,2021-04-23
100124,Innovate Industries,Influencer,Men 18-24,60 days,Google Ads,0.07,"$7,858.00",7.14,Chicago,Spanish,379,9471,7,Fashionistas,2021-04-24
100125,Innovate Industries,Social Media,Women 25-34,60 days,YouTube,0.06,"$9,993.00",3.78,New York,English,719,5248,1,Tech Enthusiasts,2021-04-25
100126,Alpha Innovations,Search,All Ages,30 days,Email,0.06,"$16,474.00",7.28,New York,German,282,6366,6,Health & Wellness,2021-04-26
100127,DataTech Solutions,Social Media,Women 25-34,30 days,Facebook,0.11,"$5,413.00",5.16,Miami,English,785,6369,6,Tech Enthusiasts,2021-04-27
100128,DataTech Solutions,Search,Women 25-34,15 days,Website,0.11,"$18,887.00",4.7,Chicago,Spanish,522,9246,3,Tech Enthusiasts,2021-04-28
100129,NexGen Systems,Search,Women 25-34,45 days,Website,0.04,"$8,359.00",6.32,Chicago,German,485,7575,1,Foodies,2021-04-29
100130,Innovate Industries,Influencer,Men 25-34,60 days,Instagram,0.02,"$18,266.00",5.44,Los Angeles,Spanish,776,1857,10,Outdoor Adventurers,2021-04-30
100131,NexGen Systems,Search,Men 18-24,45 days,Website,0.08,"$14,208.00",5.14,Chicago,French,431,6207,2,Tech Enthusiasts,2021-05-01
100132,NexGen Systems,Display,Men 18-24,45 days,Google Ads,0.11,"$8,071.00",3.29,New York,Mandarin,565,1424,10,Outdoor Adventurers,2021-05-02
100133,TechCorp,Influencer,Women 35-44,15 days,Website,0.08,"$19,360.00",2.42,Miami,Mandarin,768,9141,8,Health & Wellness,2021-05-03
100134,NexGen Systems,Display,All Ages,30 days,Website,0.09,"$14,506.00",5.62,Houston,Spanish,776,3596,10,Foodies,2021-05-04
100135,NexGen Systems,Search,Women 35-44,45 days,Email,0.05,"$12,430.00",4.62,New York,Spanish,390,9994,9,Health & Wellness,2021-05-05
100136,TechCorp,Display,All Ages,15 days,Instagram,0.06,"$5,780.00",6.2,Chicago,Mandarin,289,9564,9,Foodies,2021-05-06
100137,DataTech Solutions,Influencer,Women 25-34,60 days,Email,0.11,"$19,282.00",6.55,Houston,Spanish,849,7061,10,Health & Wellness,2021-05-07
100138,TechCorp,Influencer,Men 18-24,30 days,Email,0.11,"$5,917.00",3.23,Los Angeles,Spanish,338,4869,9,Tech Enthusiasts,2021-05-08
100139,TechCorp,Email,Women 25-34,45 days,Website,0.07,"$13,636.00",4.45,Los Angeles,German,181,7855,1,Outdoor Adventurers,2021-05-09
100140,TechCorp,Email,All Ages,15 days,Google Ads,0.11,"$7,633.00",6.43,Houston,English,158,9236,6,Tech Enthusiasts,2021-05-10
100141,Innovate Industries,Social Media,All Ages,45 days,YouTube,0.08,"$6,338.00",3.08,Chicago,French,611,4544,9,Tech Enthusiasts,2021-05-11
100142,DataTech Solutions,Email,Men 25-34,45 days,Instagram,0.05,"$8,495.00",6.73,Houston,German,154,5188,10,Foodies,2021-05-12
100143,Innovate Industries,Social Media,All Ages,45 days,Google Ads,0.15,"$16,705.00",7.79,Chicago,French,339,1686,1,Foodies,2021-05-13
100144,TechCorp,Influencer,Men 18-24,15 days,Instagram,0.06,"$11,242.00",6.74,Miami,Spanish,791,4167,7,Tech Enthusiasts,2021-05-14
100145,TechCorp,Search,Women 35-44,15 days,Facebook,0.06,"$10,808.00",6.26,Los Angeles,English,691,4148,1,Fashionistas,2021-05-15
100146,Alpha Innovations,Search,Men 25-34,45 days,Google Ads,0.11,"$12,366.00",7.55,Miami,Spanish,592,3705,6,Outdoor Adventurers,2021-05-16
100147,Alpha Innovations,Influencer,Women 35-44,45 days,Instagram,0.07,"$14,454.00",5.1,Los Angeles,Spanish,823,8740,4,Tech Enthusiasts,2021-05-17
100148,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,0.06,"$14,852.00",3.96,Los Angeles,Mandarin,255,4009,8,Fashionistas,2021-05-18
100149,DataTech Solutions,Influencer,Men 25-34,15 days,Email,0.03,"$16,521.00",7.94,New York,German,449,7502,10,Outdoor Adventurers,2021-05-19
100150,TechCorp,Search,Women 35-44,15 days,YouTube,0.01,"$11,076.00",5.04,New York,English,192,8186,7,Foodies,2021-05-20
100151,TechCorp,Social Media,Women 25-34,30 days,YouTube,0.07,"$15,214.00",4.26,Miami,German,402,7923,2,Tech Enthusiasts,2021-05-21
100152,TechCorp,Email,Men 18-24,60 days,Instagram,0.15,"$12,332.00",6.81,Miami,French,147,7991,9,Health & Wellness,2021-05-22
100153,Innovate Industries,Search,Women 35-44,15 days,Facebook,0.04,"$8,231.00",3.71,Los Angeles,German,876,4540,5,Outdoor Adventurers,2021-05-23
100154,Innovate Industries,Search,Men 25-34,15 days,Google Ads,0.11,"$16,728.00",5.27,New York,French,477,9914,3,Health & Wellness,2021-05-24
100155,TechCorp,Influencer,Women 35-44,60 days,Google Ads,0.07,"$18,842.00",6.93,Chicago,German,600,6691,4,Tech Enthusiasts,2021-05-25
100156,NexGen Systems,Display,All Ages,15 days,YouTube,0.05,"$13,260.00",3.97,Chicago,Spanish,184,6334,1,Foodies,2021-05-26
100157,DataTech Solutions,Social Media,Women 35-44,30 days,YouTube,0.04,"$5,029.00",3.99,Houston,Mandarin,380,5112,6,Health & Wellness,2021-05-27
100158,Innovate Industries,Search,Women 35-44,15 days,Google Ads,0.15,"$12,126.00",5.27,New York,Mandarin,921,5304,10,Health & Wellness,2021-05-28
100159,DataTech Solutions,Influencer,All Ages,60 days,Google Ads,0.06,"$19,861.00",2.65,Los Angeles,Mandarin,746,7061,2,Outdoor Adventurers,2021-05-29
100160,Innovate Industries,Display,Men 18-24,45 days,Facebook,0.08,"$18,975.00",6.37,Houston,Mandarin,412,2938,6,Foodies,2021-05-30
100161,Innovate Industries,Search,All Ages,15 days,Instagram,0.1,"$7,600.00",6.52,Miami,Mandarin,953,3967,5,Health & Wellness,2021-05-31
100162,NexGen Systems,Display,Men 18-24,45 days,Website,0.11,"$14,665.00",7.08,New York,French,323,3190,4,Tech Enthusiasts,2021-06-01
100163,NexGen Systems,Email,Women 35-44,15 days,Email,0.13,"$15,389.00",4.09,Chicago,Spanish,516,7998,1,Foodies,2021-06-02
100164,Alpha Innovations,Social Media,Men 18-24,45 days,YouTube,0.09,"$15,097.00",6.06,Los Angeles,Spanish,333,1359,8,Fashionistas,2021-06-03
100165,TechCorp,Search,Women 25-34,30 days,Website,0.04,"$7,369.00",6.4,Chicago,English,626,4307,10,Health & Wellness,2021-06-04
100166,DataTech Solutions,Search,Men 18-24,60 days,Facebook,0.13,"$19,004.00",5.3,New York,English,418,5894,9,Outdoor Adventurers,2021-06-05
100167,Alpha Innovations,Display,Men 18-24,15 days,Website,0.13,"$18,643.00",4.99,Miami,French,506,1691,10,Fashionistas,2021-06-06
100168,TechCorp,Influencer,Men 25-34,60 days,Instagram,0.14,"$8,046.00",7.15,Houston,Mandarin,904,5584,5,Foodies,2021-06-07
100169,DataTech Solutions,Search,Women 25-34,30 days,Website,0.14,"$18,180.00",2.9,New York,English,812,8120,9,Tech Enthusiasts,2021-06-08
100170,Alpha Innovations,Email,Men 18-24,60 days,Website,0.07,"$15,827.00",4.04,Houston,German,130,6847,3,Fashionistas,2021-06-09
100171,NexGen Systems,Social Media,Women 35-44,15 days,Email,0.05,"$14,528.00",5.06,New York,Mandarin,413,1343,6,Foodies,2021-06-10
100172,Alpha Innovations,Search,Men 18-24,60 days,Facebook,0.11,"$19,626.00",2.68,Miami,English,749,7981,7,Foodies,2021-06-11
100173,Innovate Industries,Influencer,Women 35-44,30 days,Facebook,0.14,"$14,546.00",2.12,Los Angeles,German,463,3450,3,Outdoor Adventurers,2021-06-12
100174,NexGen Systems,Display,All Ages,45 days,Google Ads,0.09,"$9,968.00",4.3,Chicago,French,133,3489,10,Fashionistas,2021-06-13
100175,NexGen Systems,Social Media,Men 25-34,60 days,Instagram,0.02,"$13,755.00",5.75,Los Angeles,English,709,2716,5,Health & Wellness,2021-06-14
100176,DataTech Solutions,Email,All Ages,15 days,Google Ads,0.13,"$15,700.00",6.14,Houston,French,587,6903,8,Foodies,2021-06-15
100177,Innovate Industries,Search,Men 25-34,60 days,Google Ads,0.13,"$15,952.00",3.03,Los Angeles,Spanish,713,4972,2,Foodies,2021-06-16
100178,Innovate Industries,Influencer,Men 25-34,45 days,Instagram,0.05,"$17,078.00",6.88,New York,Mandarin,649,8476,9,Tech Enthusiasts,2021-06-17
100179,TechCorp,Influencer,Men 18-24,30 days,Instagram,0.07,"$5,450.00",7.28,Chicago,English,461,9405,5,Fashionistas,2021-06-18
100180,NexGen Systems,Influencer,All Ages,60 days,Facebook,0.12,"$5,286.00",7.55,Houston,English,761,3785,3,Outdoor Adventurers,2021-06-19
100181,Innovate Industries,Social Media,Women 25-34,60 days,Facebook,0.07,"$16,313.00",5.87,Miami,Mandarin,439,5110,8,Outdoor Adventurers,2021-06-20
