Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR
17,Innovate Industries,Display,Women 35-44,45 days,Website,0.08,5478.0,4.53,Houston,English,931,2488,3,Fashionistas,2021-01-17,37.41961414790997
18,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,0.14,9485.0,4.48,Miami,French,218,9264,9,Health & Wellness,2021-01-18,2.353195164075993
19,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,0.07,19224.0,6.08,New York,French,182,5798,1,Foodies,2021-01-19,3.1390134529147984
20,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,0.09,10258.0,3.83,Miami,French,193,3677,1,Tech Enthusiasts,2021-01-20,5.2488441664400325
21,DataTech Solutions,Search,Women 25-34,15 days,Email,0.04,16580.0,7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,2021-01-21,62.45996156310058
22,TechCorp,Influencer,All Ages,30 days,Facebook,0.02,12824.0,6.21,New York,French,319,8586,2,Foodies,2021-01-22,3.7153505706964824
23,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.13,8699.0,2.12,Miami,French,646,3841,5,Health & Wellness,2021-01-23,16.818536839364747
24,Innovate Industries,Email,Women 25-34,15 days,Facebook,0.04,17608.0,7.31,Miami,Spanish,764,2157,8,Health & Wellness,2021-01-24,35.4195642095503
25,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,0.07,8773.0,6.03,Miami,Mandarin,527,1733,1,Fashionistas,2021-01-25,30.409694171956147
26,NexGen Systems,Search,Women 25-34,45 days,Instagram,0.04,14756.0,6.23,Houston,English,809,8236,10,Health & Wellness,2021-01-26,9.822729480330256
27,Alpha Innovations,Email,Women 25-34,45 days,Facebook,0.09,9182.0,6.03,Houston,English,953,6916,5,Fashionistas,2021-01-27,13.779641411220359
28,TechCorp,Email,Men 25-34,30 days,YouTube,0.07,6601.0,3.29,New York,Spanish,604,2420,3,Foodies,2021-01-28,24.958677685950413
29,TechCorp,Influencer,Men 18-24,60 days,Email,0.09,11552.0,7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,2021-01-29,5.039370078740157
30,TechCorp,Social Media,Women 25-34,30 days,Email,0.09,11608.0,3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,2021-01-30,23.47718865598027
31,Innovate Industries,Search,Men 25-34,45 days,Instagram,0.07,13124.0,2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,2021-01-31,10.585073392598717
32,NexGen Systems,Influencer,All Ages,45 days,YouTube,0.07,13245.0,6.83,New York,English,309,2885,7,Foodies,2021-02-01,10.710571923743501
33,NexGen Systems,Display,Women 35-44,45 days,Email,0.06,5796.0,4.42,New York,Spanish,367,3218,9,Foodies,2021-02-02,11.404599129894343
34,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.14,15082.0,2.71,Los Angeles,German,243,5724,4,Health & Wellness,2021-02-03,4.245283018867925
35,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,0.07,18332.0,7.81,Houston,Spanish,360,5349,6,Fashionistas,2021-02-04,6.730229949523276
36,TechCorp,Display,Men 25-34,60 days,Instagram,0.09,13256.0,2.51,Miami,German,250,7373,3,Health & Wellness,2021-02-05,3.3907500339075005
37,DataTech Solutions,Display,All Ages,45 days,Email,0.04,15779.0,7.24,New York,Spanish,822,7152,1,Foodies,2021-02-06,11.493288590604028
38,Innovate Industries,Influencer,Men 18-24,60 days,Facebook,0.06,7683.0,2.62,Houston,French,833,9772,8,Tech Enthusiasts,2021-02-07,8.524355300859598
39,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.11,14742.0,2.21,Chicago,Spanish,663,9473,10,Tech Enthusiasts,2021-02-08,6.998838805024807
40,Innovate Industries,Search,Men 18-24,45 days,Google Ads,0.08,15495.0,6.97,Chicago,German,268,5495,6,Fashionistas,2021-02-09,4.877161055505005
41,DataTech Solutions,Social Media,All Ages,30 days,Website,0.04,18684.0,4.57,New York,French,212,4718,4,Foodies,2021-02-10,4.493429419245443
42,Alpha Innovations,Search,Men 25-34,45 days,Email,0.01,13096.0,3.44,Los Angeles,French,360,2776,1,Foodies,2021-02-11,12.968299711815561
43,Innovate Industries,Display,Men 25-34,60 days,Instagram,0.09,7818.0,5.6,Houston,French,598,8637,5,Fashionistas,2021-02-12,6.923700358920922
44,Innovate Industries,Display,All Ages,30 days,Instagram,0.09,8214.0,4.77,Chicago,English,988,1612,5,Fashionistas,2021-02-13,61.29032258064516
45,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,0.04,6882.0,3.31,Miami,English,282,8038,7,Tech Enthusiasts,2021-02-14,3.5083354068176162
46,NexGen Systems,Display,Women 35-44,60 days,Google Ads,0.03,13470.0,6.8,Miami,English,992,8036,8,Health & Wellness,2021-02-15,12.344449975111996
47,DataTech Solutions,Search,Men 25-34,60 days,YouTube,0.06,14948.0,7.4,New York,French,903,3940,3,Foodies,2021-02-16,22.918781725888323
48,Innovate Industries,Social Media,Men 18-24,60 days,Instagram,0.04,15255.0,3.8,Chicago,French,629,1824,3,Health & Wellness,2021-02-17,34.484649122807014
49,TechCorp,Display,All Ages,60 days,Facebook,0.1,9510.0,5.25,Houston,French,190,2071,4,Tech Enthusiasts,2021-02-18,9.174311926605505
50,TechCorp,Social Media,Women 25-34,45 days,Email,0.11,7521.0,3.98,Los Angeles,German,150,7377,8,Tech Enthusiasts,2021-02-19,2.03334688897926
51,NexGen Systems,Search,Men 25-34,60 days,Facebook,0.12,10405.0,5.79,Los Angeles,French,134,8463,9,Foodies,2021-02-20,1.5833628736854546
52,NexGen Systems,Search,Men 25-34,15 days,Website,0.1,15955.0,6.48,Houston,French,657,9831,7,Foodies,2021-02-21,6.682941714983216
53,TechCorp,Email,Men 18-24,30 days,Facebook,0.13,15428.0,7.62,Houston,French,385,4937,6,Tech Enthusiasts,2021-02-22,7.798258051448248
54,NexGen Systems,Display,Women 35-44,45 days,YouTube,0.02,19832.0,3.35,New York,English,537,4739,9,Outdoor Adventurers,2021-02-23,11.331504536822115
55,NexGen Systems,Social Media,Men 18-24,30 days,YouTube,0.05,17375.0,6.15,Miami,Spanish,450,6012,7,Foodies,2021-02-24,7.48502994011976
56,NexGen Systems,Display,Men 25-34,15 days,Website,0.13,8903.0,3.7,Miami,English,178,8529,9,Health & Wellness,2021-02-25,2.0869973033180913
57,NexGen Systems,Email,Women 35-44,15 days,Website,0.04,14511.0,6.66,Chicago,English,164,2122,8,Foodies,2021-02-26,7.7285579641847315
58,Innovate Industries,Email,Men 18-24,60 days,Email,0.06,17305.0,2.7,New York,French,569,1850,2,Fashionistas,2021-02-27,30.756756756756758
59,Alpha Innovations,Email,Women 25-34,45 days,Email,0.04,18063.0,4.93,Chicago,English,330,6920,6,Foodies,2021-02-28,4.76878612716763
60,Innovate Industries,Display,Men 25-34,15 days,Email,0.05,10293.0,6.8,Miami,French,256,3421,9,Health & Wellness,2021-03-01,7.483192049108448
61,DataTech Solutions,Email,Men 25-34,45 days,Email,0.05,8785.0,2.27,New York,German,849,9217,5,Fashionistas,2021-03-02,9.211240099815559
62,TechCorp,Email,Men 25-34,30 days,Email,0.09,13848.0,5.32,Los Angeles,French,261,1958,2,Tech Enthusiasts,2021-03-03,13.329928498467824
63,Innovate Industries,Influencer,Women 35-44,60 days,Email,0.01,14435.0,7.04,Houston,Mandarin,592,3596,4,Foodies,2021-03-04,16.46273637374861
64,NexGen Systems,Search,Men 18-24,30 days,Facebook,0.02,14001.0,3.71,Chicago,English,201,8702,10,Outdoor Adventurers,2021-03-05,2.309813835899793
65,DataTech Solutions,Display,All Ages,45 days,Website,0.11,8841.0,7.43,Houston,French,648,9122,9,Fashionistas,2021-03-06,7.103705327778996
66,NexGen Systems,Search,All Ages,60 days,YouTube,0.04,11366.0,7.28,Los Angeles,Mandarin,187,5048,8,Health & Wellness,2021-03-07,3.704437400950872
67,Alpha Innovations,Display,Women 25-34,30 days,YouTube,0.07,12910.0,6.33,Miami,Spanish,839,5569,7,Foodies,2021-03-08,15.065541389836595
68,TechCorp,Search,Women 25-34,60 days,YouTube,0.12,7823.0,2.72,New York,Mandarin,240,2512,6,Tech Enthusiasts,2021-03-09,9.554140127388536
69,TechCorp,Display,All Ages,15 days,Facebook,0.03,11864.0,7.98,Chicago,French,932,9973,9,Tech Enthusiasts,2021-03-10,9.345232126742204
70,Innovate Industries,Email,All Ages,15 days,Facebook,0.1,17414.0,4.74,Los Angeles,German,694,2836,2,Foodies,2021-03-11,24.47108603667137
71,Alpha Innovations,Search,Men 25-34,30 days,Website,0.13,18201.0,5.58,New York,German,202,6745,8,Tech Enthusiasts,2021-03-12,2.994810971089696
72,Alpha Innovations,Social Media,All Ages,15 days,Email,0.03,9549.0,5.61,Chicago,French,416,9187,7,Health & Wellness,2021-03-13,4.528137585718951
73,TechCorp,Social Media,Women 35-44,15 days,YouTube,0.13,16635.0,7.46,Miami,English,576,9999,10,Health & Wellness,2021-03-14,5.7605760576057605
74,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.1,9310.0,5.63,New York,German,300,3687,9,Foodies,2021-03-15,8.136696501220504
75,NexGen Systems,Display,All Ages,15 days,YouTube,0.11,5158.0,6.67,Chicago,German,776,4238,3,Health & Wellness,2021-03-16,18.310523831996225
76,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.04,15182.0,2.03,Houston,English,492,7364,2,Fashionistas,2021-03-17,6.6811515480717
77,Innovate Industries,Display,Men 18-24,45 days,Google Ads,0.08,5703.0,3.23,Chicago,German,763,8501,10,Foodies,2021-03-18,8.975414657099165
78,Innovate Industries,Search,Women 35-44,60 days,Google Ads,0.02,12008.0,4.82,Miami,Spanish,817,7892,2,Health & Wellness,2021-03-19,10.352255448555498
79,NexGen Systems,Display,Women 35-44,45 days,Google Ads,0.13,15850.0,7.74,New York,Spanish,791,3594,4,Outdoor Adventurers,2021-03-20,22.008903728436284
80,Alpha Innovations,Influencer,Women 25-34,30 days,Email,0.1,9813.0,6.57,Miami,French,737,9941,6,Fashionistas,2021-03-21,7.413741072326728
81,Innovate Industries,Influencer,Women 35-44,60 days,Google Ads,0.14,19300.0,7.62,Miami,Mandarin,159,3643,1,Outdoor Adventurers,2021-03-22,4.3645347241284655
82,NexGen Systems,Social Media,Women 25-34,45 days,YouTube,0.12,17772.0,6.33,New York,English,913,1921,5,Foodies,2021-03-23,47.52732951587715
83,Innovate Industries,Influencer,Women 25-34,60 days,Facebook,0.1,17293.0,3.74,Houston,Spanish,238,8969,6,Outdoor Adventurers,2021-03-24,2.6535845690712456
84,NexGen Systems,Search,All Ages,60 days,YouTube,0.08,8398.0,3.99,Miami,English,134,3108,1,Health & Wellness,2021-03-25,4.311454311454312
85,Alpha Innovations,Influencer,Women 35-44,60 days,Email,0.15,15866.0,2.3,Houston,French,159,2139,10,Health & Wellness,2021-03-26,7.433380084151472
86,TechCorp,Social Media,All Ages,30 days,YouTube,0.13,7515.0,7.38,Houston,Mandarin,635,8489,3,Foodies,2021-03-27,7.480268582871952
87,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.15,19026.0,2.22,Miami,Mandarin,187,2573,10,Fashionistas,2021-03-28,7.267780800621843
88,TechCorp,Search,Men 18-24,60 days,Facebook,0.14,8280.0,7.89,New York,German,537,3042,1,Outdoor Adventurers,2021-03-29,17.65285996055227
89,Alpha Innovations,Display,Women 25-34,30 days,Google Ads,0.1,18251.0,4.41,New York,Spanish,597,8117,6,Tech Enthusiasts,2021-03-30,7.354934088949119
90,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,13108.0,2.01,Houston,German,550,3839,7,Tech Enthusiasts,2021-03-31,14.326647564469914
91,NexGen Systems,Influencer,Women 35-44,15 days,YouTube,0.09,15477.0,6.98,Houston,English,956,9087,3,Foodies,2021-04-01,10.520523825244856
92,TechCorp,Email,Men 25-34,45 days,Email,0.09,17705.0,7.0,New York,Spanish,628,9545,4,Outdoor Adventurers,2021-04-02,6.579360921948664
93,Innovate Industries,Display,Women 35-44,15 days,Instagram,0.05,18470.0,2.57,Chicago,English,938,7879,10,Fashionistas,2021-04-03,11.905064094428226
94,NexGen Systems,Display,Men 25-34,45 days,Instagram,0.01,14438.0,7.19,New York,French,147,6497,10,Health & Wellness,2021-04-04,2.262582730490996
95,NexGen Systems,Search,Men 18-24,45 days,Facebook,0.08,6278.0,4.93,Miami,German,776,4289,8,Foodies,2021-04-05,18.092795523432034
96,TechCorp,Social Media,All Ages,15 days,Email,0.08,5185.0,4.61,New York,French,108,9532,1,Tech Enthusiasts,2021-04-06,1.1330255979857322
97,Innovate Industries,Email,Women 25-34,15 days,Instagram,0.14,18799.0,3.69,Miami,French,395,6079,8,Health & Wellness,2021-04-07,6.49777924000658
98,Alpha Innovations,Search,All Ages,60 days,Facebook,0.04,7365.0,7.96,New York,French,419,4484,1,Fashionistas,2021-04-08,9.344335414808207
99,Alpha Innovations,Search,All Ages,60 days,Instagram,0.02,6565.0,3.12,New York,French,463,6061,8,Foodies,2021-04-09,7.639003464774789
100,TechCorp,Display,All Ages,60 days,Facebook,0.09,9022.0,5.58,Miami,Spanish,521,2572,4,Tech Enthusiasts,2021-04-10,20.256609642301708
101,NexGen Systems,Search,Men 25-34,45 days,YouTube,0.07,18735.0,4.86,Los Angeles,Spanish,706,8715,6,Foodies,2021-04-11,8.100975329890993
102,TechCorp,Search,Men 18-24,45 days,YouTube,0.09,9941.0,4.54,Chicago,English,207,8334,4,Tech Enthusiasts,2021-04-12,2.4838012958963285
103,DataTech Solutions,Influencer,Men 18-24,60 days,Website,0.08,10113.0,6.87,Houston,English,583,1005,3,Health & Wellness,2021-04-13,58.00995024875621
104,DataTech Solutions,Social Media,Men 18-24,15 days,Facebook,0.1,8310.0,7.17,Chicago,Spanish,864,6841,3,Tech Enthusiasts,2021-04-14,12.629732495249232
105,DataTech Solutions,Influencer,Men 18-24,30 days,Google Ads,0.06,15073.0,2.17,Los Angeles,English,387,8035,2,Health & Wellness,2021-04-15,4.816428126944617
106,Innovate Industries,Social Media,Women 25-34,30 days,Email,0.09,7541.0,3.35,Chicago,Spanish,560,3439,7,Fashionistas,2021-04-16,16.28380343123001
107,TechCorp,Influencer,Men 25-34,45 days,Google Ads,0.11,14875.0,6.5,New York,German,306,1560,3,Health & Wellness,2021-04-17,19.615384615384617
108,TechCorp,Email,All Ages,45 days,Email,0.06,5514.0,7.32,Miami,German,740,4550,1,Outdoor Adventurers,2021-04-18,16.263736263736263
109,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.05,15107.0,4.79,Houston,Spanish,115,1475,10,Fashionistas,2021-04-19,7.796610169491526
110,Innovate Industries,Social Media,Women 25-34,15 days,YouTube,0.1,13712.0,6.4,Chicago,English,366,3843,3,Fashionistas,2021-04-20,9.523809523809524
111,Alpha Innovations,Influencer,All Ages,60 days,Facebook,0.05,11789.0,5.39,Houston,German,659,3670,9,Outdoor Adventurers,2021-04-21,17.956403269754766
112,DataTech Solutions,Email,All Ages,30 days,Website,0.13,18335.0,7.58,Los Angeles,Mandarin,552,3464,5,Health & Wellness,2021-04-22,15.935334872979215
113,TechCorp,Display,Women 35-44,30 days,Google Ads,0.02,19035.0,2.01,Miami,Mandarin,560,6945,7,Health & Wellness,2021-04-23,8.06335493160547
114,DataTech Solutions,Email,Women 25-34,15 days,YouTube,0.11,17655.0,4.04,Los Angeles,English,369,8912,4,Health & Wellness,2021-04-24,4.1404847396768405
115,NexGen Systems,Email,Women 25-34,45 days,Google Ads,0.11,6710.0,2.72,Houston,German,886,6158,7,Fashionistas,2021-04-25,14.387788242936017
116,NexGen Systems,Social Media,Women 25-34,15 days,Facebook,0.09,9899.0,3.7,Los Angeles,German,447,4878,8,Tech Enthusiasts,2021-04-26,9.163591635916358
117,Innovate Industries,Email,All Ages,30 days,Instagram,0.14,7032.0,7.86,Chicago,Spanish,595,1555,4,Health & Wellness,2021-04-27,38.263665594855304
118,TechCorp,Social Media,All Ages,45 days,Website,0.05,5174.0,4.98,Houston,German,438,9741,1,Tech Enthusiasts,2021-04-28,4.496458269171543
119,Innovate Industries,Display,Women 35-44,15 days,YouTube,0.14,15679.0,3.71,Los Angeles,German,652,3884,7,Foodies,2021-04-29,16.786817713697218
120,NexGen Systems,Display,All Ages,45 days,YouTube,0.07,12143.0,7.65,Miami,Mandarin,802,8897,10,Tech Enthusiasts,2021-04-30,9.014274474541981
121,Innovate Industries,Email,Women 35-44,45 days,Facebook,0.02,19329.0,7.58,Houston,English,841,4536,8,Outdoor Adventurers,2021-05-01,18.54056437389771
122,Innovate Industries,Search,All Ages,60 days,Email,0.09,8854.0,6.78,Chicago,German,137,4002,6,Tech Enthusiasts,2021-05-02,3.423288355822089
123,Alpha Innovations,Influencer,Women 35-44,45 days,YouTube,0.04,5232.0,7.61,New York,German,850,6515,5,Foodies,2021-05-03,13.046815042210284
124,NexGen Systems,Display,Men 25-34,30 days,Instagram,0.02,13006.0,3.7,Chicago,Spanish,727,2863,1,Fashionistas,2021-05-04,25.39294446384911
125,DataTech Solutions,Email,Men 18-24,45 days,Website,0.13,5653.0,6.08,Chicago,Mandarin,986,4477,10,Foodies,2021-05-05,22.023676569131116
126,DataTech Solutions,Email,Men 25-34,45 days,Google Ads,0.02,18169.0,5.5,Miami,English,259,3941,7,Outdoor Adventurers,2021-05-06,6.571936056838366
127,DataTech Solutions,Social Media,Men 25-34,45 days,Email,0.08,13316.0,6.15,Los Angeles,Spanish,321,7186,2,Fashionistas,2021-05-07,4.467019204007793
128,NexGen Systems,Email,All Ages,15 days,Email,0.08,17847.0,6.68,Houston,Spanish,942,9066,3,Outdoor Adventurers,2021-05-08,10.390469887491726
129,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.06,10639.0,4.32,New York,Spanish,166,5735,10,Health & Wellness,2021-05-09,2.894507410636443
130,Innovate Industries,Display,Men 25-34,15 days,YouTube,0.03,10945.0,3.16,Chicago,Spanish,508,8054,6,Fashionistas,2021-05-10,6.307424882046188
131,NexGen Systems,Email,Men 18-24,15 days,Instagram,0.11,5167.0,6.63,New York,Spanish,885,1932,7,Fashionistas,2021-05-11,45.807453416149066
132,DataTech Solutions,Influencer,Men 25-34,60 days,Google Ads,0.15,8300.0,6.65,Chicago,Spanish,158,4842,4,Outdoor Adventurers,2021-05-12,3.2631144155307727
133,Innovate Industries,Social Media,Men 25-34,15 days,Instagram,0.14,13469.0,7.54,Houston,German,857,4028,8,Fashionistas,2021-05-13,21.276067527308836
134,TechCorp,Search,Men 25-34,30 days,Facebook,0.1,19254.0,2.41,Miami,English,481,1876,7,Foodies,2021-05-14,25.639658848614072
135,DataTech Solutions,Display,All Ages,60 days,Google Ads,0.04,10704.0,6.46,Chicago,French,999,7543,8,Tech Enthusiasts,2021-05-15,13.244067347209334
136,NexGen Systems,Email,Men 18-24,30 days,Email,0.15,9229.0,3.56,New York,Spanish,939,5999,8,Tech Enthusiasts,2021-05-16,15.65260876812802
137,Alpha Innovations,Social Media,Women 35-44,60 days,Instagram,0.1,14125.0,4.9,Houston,Spanish,885,7833,5,Fashionistas,2021-05-17,11.298353121409422
138,DataTech Solutions,Influencer,All Ages,60 days,Instagram,0.04,8222.0,6.17,Houston,Mandarin,666,1435,4,Foodies,2021-05-18,46.41114982578397
139,NexGen Systems,Email,Men 18-24,45 days,Website,0.07,14226.0,3.77,Chicago,German,359,9440,8,Outdoor Adventurers,2021-05-19,3.802966101694915
140,DataTech Solutions,Email,Men 18-24,60 days,Website,0.06,18985.0,4.61,Miami,English,328,8840,5,Fashionistas,2021-05-20,3.7104072398190047
141,NexGen Systems,Email,Women 25-34,15 days,Email,0.08,5599.0,3.43,Houston,English,571,2404,3,Fashionistas,2021-05-21,23.752079866888522
142,Innovate Industries,Influencer,All Ages,45 days,Google Ads,0.08,11952.0,3.48,Houston,English,845,5702,8,Health & Wellness,2021-05-22,14.819361627499122
143,Innovate Industries,Display,Women 35-44,15 days,Facebook,0.05,14503.0,3.8,Miami,Mandarin,585,9150,3,Tech Enthusiasts,2021-05-23,6.393442622950819
144,DataTech Solutions,Search,Men 25-34,45 days,Instagram,0.11,10404.0,2.41,New York,German,418,3556,2,Tech Enthusiasts,2021-05-24,11.754780652418448
145,TechCorp,Social Media,Men 18-24,30 days,Email,0.12,7484.0,5.86,Houston,English,208,8730,2,Outdoor Adventurers,2021-05-25,2.3825887743413516
146,TechCorp,Search,Men 25-34,60 days,Google Ads,0.03,7428.0,4.72,Houston,Mandarin,556,5179,4,Tech Enthusiasts,2021-05-26,10.735663255454721
147,TechCorp,Influencer,Men 25-34,15 days,Facebook,0.1,11495.0,5.13,Los Angeles,French,734,2612,5,Health & Wellness,2021-05-27,28.101071975497703
148,TechCorp,Influencer,All Ages,30 days,Facebook,0.13,18957.0,2.83,Los Angeles,Spanish,643,2939,4,Tech Enthusiasts,2021-05-28,21.878189860496768
149,NexGen Systems,Display,Men 18-24,45 days,Instagram,0.06,10772.0,2.94,Chicago,English,165,1496,6,Health & Wellness,2021-05-29,11.029411764705882
150,TechCorp,Search,Women 35-44,60 days,Instagram,0.14,6896.0,2.15,Houston,German,693,1290,1,Foodies,2021-05-30,53.72093023255814
151,NexGen Systems,Search,Men 18-24,60 days,Facebook,0.13,13318.0,2.98,New York,German,261,1415,6,Foodies,2021-05-31,18.445229681978798
152,TechCorp,Influencer,Women 35-44,60 days,Website,0.06,7031.0,5.67,Houston,French,404,8033,6,Tech Enthusiasts,2021-06-01,5.029254325905639
153,Alpha Innovations,Display,Women 35-44,15 days,Instagram,0.06,5466.0,2.66,Houston,English,257,5756,2,Tech Enthusiasts,2021-06-02,4.464906184850591
154,Innovate Industries,Influencer,All Ages,30 days,Instagram,0.11,15303.0,7.41,Chicago,Spanish,901,8712,2,Foodies,2021-06-03,10.342056932966024
155,TechCorp,Social Media,Women 35-44,30 days,Instagram,0.13,13157.0,4.41,New York,German,724,9573,6,Fashionistas,2021-06-04,7.562937428183432
156,Innovate Industries,Influencer,All Ages,15 days,Instagram,0.07,13197.0,3.31,Los Angeles,French,672,8765,9,Tech Enthusiasts,2021-06-05,7.66685681688534
157,Alpha Innovations,Display,Men 25-34,30 days,Facebook,0.09,19723.0,4.74,Houston,Mandarin,148,2746,8,Outdoor Adventurers,2021-06-06,5.38965768390386
158,NexGen Systems,Display,Men 18-24,60 days,Google Ads,0.12,18903.0,7.24,Miami,French,488,4253,1,Tech Enthusiasts,2021-06-07,11.474253468140136
159,Alpha Innovations,Display,Women 35-44,60 days,Website,0.06,17737.0,4.23,Houston,Spanish,420,8196,4,Foodies,2021-06-08,5.124450951683748
160,DataTech Solutions,Social Media,Women 25-34,30 days,Instagram,0.08,16981.0,5.74,Miami,French,395,7469,6,Foodies,2021-06-09,5.288525907082608
161,TechCorp,Search,All Ages,45 days,Website,0.05,15993.0,6.55,Miami,English,616,9536,8,Fashionistas,2021-06-10,6.459731543624161
162,DataTech Solutions,Social Media,Men 18-24,30 days,YouTube,0.07,7893.0,5.28,Chicago,German,170,6306,9,Foodies,2021-06-11,2.6958452267681574
163,TechCorp,Email,Women 25-34,15 days,Google Ads,0.04,9858.0,3.09,Los Angeles,Spanish,957,4396,9,Tech Enthusiasts,2021-06-12,21.769790718835306
164,NexGen Systems,Influencer,Women 35-44,30 days,Email,0.09,6885.0,7.65,Houston,Spanish,872,3269,1,Tech Enthusiasts,2021-06-13,26.67482410523096
165,TechCorp,Email,Men 25-34,30 days,Email,0.07,11587.0,3.17,Houston,English,716,2676,9,Foodies,2021-06-14,26.756352765321374
166,NexGen Systems,Email,All Ages,30 days,Facebook,0.15,5202.0,5.94,New York,German,998,5108,3,Fashionistas,2021-06-15,19.537979639780737
167,Innovate Industries,Search,Men 18-24,15 days,Instagram,0.08,15651.0,7.24,Los Angeles,English,481,4165,7,Tech Enthusiasts,2021-06-16,11.548619447779112
168,NexGen Systems,Display,All Ages,30 days,Website,0.12,11879.0,8.0,New York,Spanish,568,4997,6,Outdoor Adventurers,2021-06-17,11.366820092055233
169,TechCorp,Influencer,Women 25-34,60 days,Email,0.03,12183.0,4.36,Los Angeles,English,421,6087,10,Tech Enthusiasts,2021-06-18,6.916379168720223
170,TechCorp,Search,All Ages,30 days,Google Ads,0.07,10690.0,5.41,Los Angeles,English,797,1306,9,Foodies,2021-06-19,61.0260336906585
171,TechCorp,Social Media,Men 25-34,30 days,Website,0.06,12886.0,4.62,Miami,Mandarin,668,2507,8,Foodies,2021-06-20,26.64539289988033
172,Innovate Industries,Influencer,Men 25-34,15 days,Google Ads,0.09,10854.0,6.1,Houston,English,303,9453,2,Health & Wellness,2021-06-21,3.2053316407489687
173,DataTech Solutions,Influencer,All Ages,15 days,YouTube,0.11,7170.0,3.76,Los Angeles,German,540,6422,8,Foodies,2021-06-22,8.408595453129866
